Class,Shift,Sections,Period,Time,Monday,Tuesday,Wednesday,Thursday,Friday
2CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",3RD,1010-1125,,IR332,,IR332,
2CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",4TH,1250-1405,,SD322,,SD322,
2CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",5TH,1415-1530,WIT332,AS/AFS/NS,WIT332,AS/AFS/NS,WIT332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",1ST,0720-0835,COM332,,COM332,,COM332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",2ND,0845-1000,,IR332,,IR332,
2CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",3RD,1010-1125,,SD322,,SD322,
2CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",4TH,1250-1405,WIT332,AS/AFS/NS,WIT332,AS/AFS/NS,WIT332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",5TH,1415-1530,STAT332,LCO332,STAT332,LCO332,STAT332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H, I",1ST,0720-0835,,IR332,,IR332,
2CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H, I",2ND,0845-1000,,SD322,,SD322,
2CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H, I",3RD,1010-1125,WIT332,AS/AFS/NS,WIT332,AS/AFS/NS,WIT332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H, I",4TH,1250-1405,STAT332,LCO332,STAT332,LCO332,STAT332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H, I",5TH,1415-1530,COM332,,COM332,,COM332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"J, K, L",1ST,0720-0835,,SD322,,SD322,
2CL,2nd Shift (09 Nov - 09 Jan 2027),"J, K, L",2ND,0845-1000,WIT332,AS/AFS/NS,WIT332,AS/AFS/NS,WIT332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"J, K, L",3RD,1010-1125,STAT332,LCO332,STAT332,LCO332,STAT332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"J, K, L",4TH,1250-1405,COM332,,COM332,,COM332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"J, K, L",5TH,1415-1530,,IR332,,IR332,
2CL,2nd Shift (09 Nov - 09 Jan 2027),"M, N, O",1ST,0720-0835,WIT332,AS/AFS/NS,WIT332,AS/AFS/NS,WIT332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"M, N, O",2ND,0845-1000,STAT332,LCO332,STAT332,LCO332,STAT332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"M, N, O",3RD,1010-1125,COM332,,COM332,,COM332
2CL,2nd Shift (09 Nov - 09 Jan 2027),"M, N, O",4TH,1250-1405,,IR332,,IR332,
2CL,2nd Shift (09 Nov - 09 Jan 2027),"M, N, O",5TH,1415-1530,,SD322,,SD322,
3CL,1st Shift (21 Sep - 09 Nov 2026),"A, B, C",1ST,0720-0835,PSY232,PHY232,PSY232,PHY232,PSY232
3CL,1st Shift (21 Sep - 09 Nov 2026),"A, B, C",2ND,0845-1000,,,,,
3CL,1st Shift (21 Sep - 09 Nov 2026),"A, B, C",3RD,1010-1125,RM232,ML222,RM232,ML222,RM232
3CL,1st Shift (21 Sep - 09 Nov 2026),"A, B, C",4TH,1250-1405,,SD222,,SD222,
3CL,1st Shift (21 Sep - 09 Nov 2026),"A, B, C",5TH,1415-1530,IT232,,IT232,,IT232
3CL,1st Shift (21 Sep - 09 Nov 2026),"D, E, F",1ST,0720-0835,,,,,
3CL,1st Shift (21 Sep - 09 Nov 2026),"D, E, F",2ND,0845-1000,RM232,ML222,RM232,ML222,RM232
3CL,1st Shift (21 Sep - 09 Nov 2026),"D, E, F",3RD,1010-1125,,SD222,,SD222,
3CL,1st Shift (21 Sep - 09 Nov 2026),"D, E, F",4TH,1250-1405,IT232,,IT232,,IT232
3CL,1st Shift (21 Sep - 09 Nov 2026),"D, E, F",5TH,1415-1530,PSY232,PHY232,PSY232,PHY232,PSY232
3CL,1st Shift (21 Sep - 09 Nov 2026),"G, H, I",1ST,0720-0835,RM232,ML222,RM232,ML222,RM232
3CL,1st Shift (21 Sep - 09 Nov 2026),"G, H, I",2ND,0845-1000,,SD222,,SD222,
3CL,1st Shift (21 Sep - 09 Nov 2026),"G, H, I",3RD,1010-1125,IT232,,IT232,,IT232
3CL,1st Shift (21 Sep - 09 Nov 2026),"G, H, I",4TH,1250-1405,PSY232,PHY232,PSY232,PHY232,PSY232
3CL,1st Shift (21 Sep - 09 Nov 2026),"G, H, I",5TH,1415-1530,,,,,
3CL,1st Shift (21 Sep - 09 Nov 2026),"J, K, L",1ST,0720-0835,,SD222,,SD222,
3CL,1st Shift (21 Sep - 09 Nov 2026),"J, K, L",2ND,0845-1000,IT232,,IT232,,IT232
3CL,1st Shift (21 Sep - 09 Nov 2026),"J, K, L",3RD,1010-1125,PSY232,PHY232,PSY232,PHY232,PSY232
3CL,1st Shift (21 Sep - 09 Nov 2026),"J, K, L",4TH,1250-1405,MAT232(L),,MAT232(L),,MAT232(L)
3CL,1st Shift (21 Sep - 09 Nov 2026),"J, K, L",5TH,1415-1530,RM232,ML222,RM232,ML222,RM232
3CL,1st Shift (21 Sep - 09 Nov 2026),"M, N, O",1ST,0720-0835,IT232,,IT232,,IT232
3CL,1st Shift (21 Sep - 09 Nov 2026),"M, N, O",2ND,0845-1000,PSY232,PHY232,PSY232,PHY232,PSY232
3CL,1st Shift (21 Sep - 09 Nov 2026),"M, N, O",3RD,1010-1125,MAT232(O),,MAT232(O),,MAT232(O)
3CL,1st Shift (21 Sep - 09 Nov 2026),"M, N, O",4TH,1250-1405,RM232,ML222,RM232,ML222,RM232
3CL,1st Shift (21 Sep - 09 Nov 2026),"M, N, O",5TH,1415-1530,,SD222,,SD222,
3CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",1ST,0720-0835,PHY232,PSY232,PHY232,PSY232,PHY232
3CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",2ND,0845-1000,,,,,
3CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",3RD,1010-1125,ML222,RM232,ML222,RM232,ML222
3CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",4TH,1250-1405,SD222,,SD222,,SD222
3CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",5TH,1415-1530,,IT232,,IT232,
3CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",1ST,0720-0835,,,,,
3CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",2ND,0845-1000,ML222,RM232,ML222,RM232,ML222
3CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",3RD,1010-1125,SD222,,SD222,,SD222
3CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",4TH,1250-1405,,IT232,,IT232,
3CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",5TH,1415-1530,PHY232,PSY232,PHY232,PSY232,PHY232
3CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H, I",1ST,0720-0835,ML222,RM232,ML222,RM232,ML222
3CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H, I",2ND,0845-1000,SD222,,SD222,,SD222
3CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H, I",3RD,1010-1125,,IT232,,IT232,
3CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H, I",4TH,1250-1405,PHY232,PSY232,PHY232,PSY232,PHY232
3CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H, I",5TH,1415-1530,,,,,
3CL,2nd Shift (09 Nov - 09 Jan 2027),"J, K, L",1ST,0720-0835,SD222,,SD222,,SD222
3CL,2nd Shift (09 Nov - 09 Jan 2027),"J, K, L",2ND,0845-1000,,IT232,,IT232,
3CL,2nd Shift (09 Nov - 09 Jan 2027),"J, K, L",3RD,1010-1125,PHY232,PSY232,PHY232,PSY232,PHY232
3CL,2nd Shift (09 Nov - 09 Jan 2027),"J, K, L",4TH,1250-1405,,MAT232(L),,MAT232(L),
3CL,2nd Shift (09 Nov - 09 Jan 2027),"J, K, L",5TH,1415-1530,ML222,RM232,ML222,RM232,ML222
3CL,2nd Shift (09 Nov - 09 Jan 2027),"M, N, O",1ST,0720-0835,,IT232,,IT232,
3CL,2nd Shift (09 Nov - 09 Jan 2027),"M, N, O",2ND,0845-1000,PHY232,PSY232,PHY232,PSY232,PHY232
3CL,2nd Shift (09 Nov - 09 Jan 2027),"M, N, O",3RD,1010-1125,,MAT232(O),,MAT232(O),
3CL,2nd Shift (09 Nov - 09 Jan 2027),"M, N, O",4TH,1250-1405,ML222,RM232,ML222,RM232,ML222
3CL,2nd Shift (09 Nov - 09 Jan 2027),"M, N, O",5TH,1415-1530,SD222,,SD222,,SD222
